instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"ZHANG, QING",4.8,1.9,19,94%,https://www.ratemyprofessors.com/professor/2947498,Mathematics,"CLEAR GRADING CRITERIA, CARING, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, GIVES GOOD FEEDBACK, TEST HEAVY, RESPECTED, LECTURE HEAVY"
"GARCIA, MARIO",3.8,2.3,83,79%,https://www.ratemyprofessors.com/professor/809148,Chicano Studies,"GET READY TO READ, SKIP CLASS? YOU WON'T PASS., EXTRA CREDIT, LECTURE HEAVY, AMAZING LECTURES, CARING, PARTICIPATION MATTERS"
"EBENSTEIN, ALAN",2.6,3.4,5,25%,https://www.ratemyprofessors.com/professor/1416536,Economics,"LECTURE HEAVY, TOUGH GRADER, SO MANY PAPERS, GIVES GOOD FEEDBACK, BEWARE OF POP QUIZZES, ACCESSIBLE OUTSIDE CLASS, CARING"
"ZHANG, GENGGENG",5.0,1.0,1,100%,https://www.ratemyprofessors.com/professor/3053411,Writing,None
"TRUSCELLI, NIKKI",4.6,2.4,19,94%,https://www.ratemyprofessors.com/professor/2759426,Communication,"CARING, AMAZING LECTURES, TOUGH GRADER, INSPIRATIONAL, GRADED BY FEW THINGS, GET READY TO READ, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, ACCESSIBLE OUTSIDE CLASS"
"WITTMAN, RICHARD",3.6,3.6,60,65%,https://www.ratemyprofessors.com/professor/586345,Art History,"LECTURE HEAVY, GRADED BY FEW THINGS, SKIP CLASS? YOU WON'T PASS., AMAZING LECTURES, GET READY TO READ, INSPIRATIONAL, RESPECTED, TOUGH GRADER"
"MARTINEZ, AMY",1.9,3.7,17,23%,https://www.ratemyprofessors.com/professor/2837674,Sociology,"TOUGH GRADER, GET READY TO READ, LECTURE HEAVY, PARTICIPATION MATTERS, AMAZING LECTURES, RESPECTED, GRADED BY FEW THINGS, LOTS OF HOMEWORK, SO MANY PAPERS"
"ARORA, AKANKSHA",0.0,0.0,0,N/A,https://www.ratemyprofessors.com/professor/3122391,Economics,GET READY TO READ
"GIACHETTI, LORENZO",5.0,2.0,1,100%,https://www.ratemyprofessors.com/professor/3122230,French & Italian,"HILARIOUS, CARING, RESPECTED"
"MIRZA, DIBA",4.7,2.9,71,90%,https://www.ratemyprofessors.com/professor/2258262,Computer Science,"AMAZING LECTURES, RESPECTED, GIVES GOOD FEEDBACK, LOTS OF HOMEWORK, CARING, CLEAR GRADING CRITERIA, EXTRA CREDIT, GROUP PROJECTS, INSPIRATIONAL, PARTICIPATION MATTERS"
